NWCG_REPORTING_UNIT_NAME,DURATION,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE
Fresno-Kings Unit,,Children,0.3,36.68805555,-119.5561111
Merced-Mariposa Unit,,Miscellaneous,1,37.29694444,-121.0219444
Santa Clara Unit,,Miscellaneous,1,37.13888888,-121.6338889
Butte Unit,,Miscellaneous,1,39.58111111,-121.6888889
Sonoma-Lake Napa Unit,,Equipment Use,1,38.35,-122.2669444
Sonoma-Lake Napa Unit,,Children,1,38.79805555,-123.015
Riverside Unit,,Miscellaneous,1,33.75805555,-116.295
Riverside Unit,,Smoking,1,33.64194444,-116.1330556
Riverside Unit,,Children,1,33.715,-116.1769444
California Desert District,0,Miscellaneous,2,33.92939,-117.08656
Sonoma-Lake Napa Unit,0,Debris Burning,1,38.672538,-122.470576
Fresno-Kings Unit,,Miscellaneous,0.1,36.95305555,-120.6280556
Santa Clara Unit,,Miscellaneous,1,37.2,-121.7219444
Nevada-Yuba-Placer Unit,,Equipment Use,1,38.73111111,-121.3419444
San Bernardino Unit,,Miscellaneous,0.1,34.10611111,-117.25
San Bernardino Unit,,Children,0.1,34.01611111,-117.0638889
Riverside Unit,,Miscellaneous,2,33.51194444,-116.86
San Bernardino National Forest,0,Miscellaneous,2,33.5244444,-116.834444
Shasta-Trinity National Forest,0,Arson,0.01,40.5333333,-123.136111
Shasta-Trinity National Forest,0,Debris Burning,0.01,40.5344444,-123.136111
Sequoia National Forest,0,Campfire,5,35.565,-118.247778
California Desert District,0,Missing/Undefined,6,33.78636,-117.42289
California Desert District,0,Missing/Undefined,0.5,33.70267,-117.28956
Central California District,0,Equipment Use,3,38.2789,-121.4497
Nevada-Yuba-Placer Unit,,Debris Burning,0.5,39.344304,-121.25952
Monte Vista Unit,,Powerline,0.2,33.341278,-117.160161
Nevada-Yuba-Placer Unit,,Equipment Use,0.1,38.997038,-121.40154
San Bernardino Unit,,Debris Burning,0.01,34.435449,-117.642041
Riverside Unit,,Miscellaneous,1,33.88805555,-117.2438889
Monte Vista Unit,,Missing/Undefined,0.3,33.311414,-116.952939
Sonoma-Lake Napa Unit,,Debris Burning,2,38.496914,-122.253172
San Mateo-Santa Cruz Unit,,Missing/Undefined,1,37.526089,-122.354278
Fresno-Kings Unit,,Miscellaneous,1,36.54694444,-119.5961111
Butte Unit,,Miscellaneous,0.1,39.75305555,-121.9680556
Riverside Unit,,Miscellaneous,0.1,33.78,-116.995
Riverside Unit,,Miscellaneous,5,33.68888888,-117.355
Inyo National Forest,0,Campfire,0.1,37.6438889,-118.906111
California Desert District,1,Equipment Use,0.1,34.80222,-115.32039
California Desert District,0,Miscellaneous,0.1,35.79542,-117.36961
Central California District,0,Equipment Use,102,35.8386,-118.3989
Sacramento River National Wildlife Refuge,0,Smoking,0.1,39.75222222,-121.985
Amador-El Dorado Unit,0,Debris Burning,0.25,38.654585,-120.993415
Santa Barbara County Fire Department,,Missing/Undefined,0.33,34.71468237,-120.1390569
Siskiyou Unit,,Debris Burning,0.01,41.506067,-122.39355
Siskiyou Unit,,Miscellaneous,0.01,41.510383,-122.394483
Merced-Mariposa Unit,,Miscellaneous,0.5,36.92111111,-120.0180556
Merced-Mariposa Unit,,Smoking,1,37.295,-120.8511111
Riverside Unit,,Miscellaneous,1,33.90305555,-116.54
Riverside Unit,,Miscellaneous,1,33.73,-117.3888889
San Bernardino National Forest,2,Arson,48,33.8741667,-116.697778
Fort Yuma Agency,11,Arson,352,32.7775,-114.5775
Grasslands Wildlife Management Area,0,Miscellaneous,1,37.29805556,-120.8572222
